date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-05-22,0.0,관망,0.5,-2.0,1.5,🟡 관망 — 진입 없음,,0,0.3817041791199879,,,
2025-05-23,-6.5,패닉,-1.0,-4.0,-1.5,🔴 하락 → 인버스 헤지,inverse,2,0.2453565680823034,-0.2453565680823034,0.0,-0.4907131361646068
2025-05-26,6.0,강매수,2.0,4.0,0.0,🟢🟢 기본,"semiconductor,power_infra",5,-0.533575245890167,-1.24303588451521,0.0,-0.709460638625043
2025-05-27,4.5,매수,-2.0,4.5,2.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.44137906007311756,1.2179884330303674,1.0,0.7766093729572499
2025-05-28,-1.5,금지,2.0,-4.0,0.5,🟡 관망 — 진입 없음,,0,0.7831079532892856,,0.0,
2025-05-29,0.0,관망,2.0,-2.5,0.5,🟡 관망 — 진입 없음,,0,-0.27199124602770286,,,
2025-05-30,1.0,관망,-2.0,2.5,0.5,🟡 관망 — 진입 없음,,0,-0.17644893198485093,,,
2025-06-02,-2.0,금지,0.0,-1.5,-0.5,🟡 관망 — 진입 없음,,0,1.4431413314957302,,0.0,
2025-06-04,7.5,강매수,2.0,4.5,1.0,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,0.7033964291029249,1.3974976444703233,1.0,0.6941012153673984
2025-06-05,0.0,관망,-2.0,1.0,1.0,🟡 관망 — 진입 없음,,0,1.0494126794764127,,,
2025-06-09,1.0,관망,3.5,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.5900369266785636,,,
2025-06-10,-1.0,관망,1.0,-3.0,1.0,🟡 관망 — 진입 없음,,0,0.5386761208654387,,,
2025-06-11,1.5,관망,2.0,0.0,-0.5,🟡 관망 — 진입 없음,,0,0.10147611082874312,,,
2025-06-12,-3.5,금지,-2.0,-2.0,0.5,🔴 하락 → 인버스 헤지,inverse,2,0.3609565297874,-0.3609565297874,0.0,-0.7219130595748
2025-06-13,-7.5,패닉,-2.0,-4.0,-1.5,🔴 하락 → 인버스 헤지,inverse,2,0.3067719580809091,-0.3067719580809091,0.0,-0.6135439161618182
2025-06-16,2.5,매수,1.0,2.0,-0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.4503410616446273,1.2076916739609609,1.0,0.7573506123163336
2025-06-17,-1.0,관망,2.0,-3.0,0.0,🟡 관망 — 진입 없음,,0,-0.5650329030854498,,,
