date,score,signal,asian,europe,div,reason,sectors,n_targets,kospi_gap,sector_gap,direction_hit,excess
2025-10-20,4.5,매수,2.0,2.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,0.9521106280524059,0.7900768856553653,1.0,-0.1620337423970406
2025-10-21,3.0,매수,1.0,1.5,0.5,🟢 기본,"semiconductor,power_infra",5,0.0886515256969073,-0.033298927376512744,1.0,-0.12195045307342005
2025-10-22,-2.5,금지,2.0,-4.0,-0.5,🟡 관망 — 진입 없음,,0,-1.2331060597440724,,1.0,
2025-10-23,2.0,매수,0.0,1.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,1.239609345548279,1.662362135250664,1.0,0.42275278970238483
2025-10-24,2.5,매수,2.0,0.0,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,1.476560217427916,2.85104857419144,1.0,1.3744883567635242
2025-10-27,4.0,매수,2.0,1.5,0.5,🟢 + 나스닥↑,"semiconductor,battery_ev",4,-0.8004320438044009,-1.1683645524921544,0.0,-0.3679325086877535
2025-10-28,2.0,매수,1.0,0.0,1.0,🟢 + 나스닥↑,"semiconductor,battery_ev",4,1.2749351830280071,1.0316822258810099,1.0,-0.24325295714699724
2025-10-29,-8.5,패닉,-1.0,-5.0,-2.5,💀 극단 하락 → 인버스 헤지,inverse,2,0.6076790503212715,-0.6076790503212715,0.0,-1.215358100642543
2025-10-30,1.5,관망,2.0,-1.0,0.5,🟡 관망 — 진입 없음,,0,-0.08906265335738843,,,
2025-10-31,-0.5,관망,2.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,0.38611961731588557,,,
2025-11-03,-1.5,관망,0.0,0.0,-1.5,🟡 관망 — 진입 없음,,0,-0.062291892917159655,,,
2025-11-04,-5.0,금지,-2.5,-3.0,0.5,🟡 관망 — 진입 없음,,0,-1.6078224221697923,,1.0,
2025-11-05,-1.0,관망,-0.5,1.5,-2.0,🟡 관망 — 진입 없음,,0,2.198571597887686,,,
2025-11-06,-0.5,관망,2.0,-3.0,0.5,🟡 관망 — 진입 없음,,0,-1.5579476022170051,,,
2025-11-07,-4.5,금지,-2.0,-2.0,-0.5,🟡 관망 — 진입 없음,,0,0.963895313012034,,0.0,
2025-11-10,7.0,강매수,2.0,4.5,0.5,🟢🟢 + 나스닥↑,"semiconductor,software_ai",5,1.2535429922013264,1.654931328767558,1.0,0.40138833656623163
