code,name,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,regime,hold_days
034020,두산에너빌리티,2025-12-05,2025-12-08,79600.0,77150.0,7,-18557.0,-3.33,SL_HIT,NORMAL,1
222800,심텍,2025-12-08,2025-12-09,56500.0,53835.0,10,-28054.0,-4.96,SL_HIT,NORMAL,1
329180,HD현대중공업,2025-12-10,2025-12-11,571000.0,553300.0,1,-19141.0,-3.35,SL_HIT,NORMAL,1
009540,HD한국조선해양,2025-12-09,2025-12-15,437000.0,438925.0,1,784.0,0.18,TRAILING,NORMAL,4
026960,동서,2025-12-12,2025-12-15,29100.0,28540.0,22,-13954.0,-2.18,SL_HIT,NORMAL,1
001440,대한전선,2025-12-16,2025-12-17,24400.0,23685.0,7,-5437.0,-3.18,SL_HIT,CAUTION,1
226950,올릭스,2025-12-16,2025-12-17,142100.0,135050.0,1,-7402.0,-5.21,SL_HIT,CAUTION,1
003690,코리안리,2025-12-18,2025-12-19,11720.0,11527.0,21,-4683.0,-1.9,SL_HIT,NORMAL,1
010950,S-Oil,2025-12-18,2025-12-19,86000.0,83905.0,2,-4627.0,-2.69,SL_HIT,NORMAL,1
001450,현대해상,2025-12-22,2025-12-26,30850.0,30295.0,8,-5071.0,-2.05,SL_HIT,NORMAL,4
192080,더블유게임즈,2025-12-22,2025-12-29,54900.0,54175.0,3,-2598.0,-1.58,SL_HIT,NORMAL,5
232140,와이씨,2025-12-29,2025-12-30,14920.0,14488.0,28,-13167.0,-3.15,SL_HIT,NORMAL,1
071050,한국금융지주,2025-12-30,2026-01-02,165900.0,161425.0,1,-4895.0,-2.95,SL_HIT,NORMAL,3
039030,이오테크닉스,2026-01-02,2026-01-06,272000.0,313795.0,1,40985.0,15.07,TRAILING,NORMAL,2
089970,브이엠,2026-01-05,2026-01-06,32350.0,30932.0,11,-16480.0,-4.63,SL_HIT,NORMAL,1
028260,삼성물산,2026-01-07,2026-01-08,260000.0,264325.0,1,3638.0,1.4,TRAILING,NORMAL,1
000720,현대건설,2026-01-07,2026-01-09,75600.0,75563.0,6,-1401.0,-0.31,TRAILING,NORMAL,2
267250,HD현대,2026-01-09,2026-01-12,199300.0,212086.0,1,12236.0,6.14,TP_PARTIAL,NORMAL,1
267250,HD현대,2026-01-09,2026-01-13,199300.0,226495.0,2,53220.0,13.35,TRAILING,NORMAL,2
214150,클래시스,2026-01-12,2026-01-16,58200.0,62743.0,4,17522.0,7.53,TP_PARTIAL,NORMAL,4
271560,오리온,2026-01-14,2026-01-19,107000.0,111421.0,3,12397.0,3.86,TP_PARTIAL,NORMAL,3
214150,클래시스,2026-01-12,2026-01-19,58200.0,60916.0,4,10232.0,4.39,TRAILING,NORMAL,5
271560,오리온,2026-01-14,2026-01-20,107000.0,112520.0,3,15685.0,4.89,TRAILING,NORMAL,4
247540,에코프로비엠,2026-01-20,2026-01-21,155200.0,158110.0,5,12497.0,1.61,TRAILING,NORMAL,1
086520,에코프로,2026-01-21,2026-01-22,95400.0,105343.0,2,19341.0,10.14,TP_PARTIAL,NORMAL,1
086520,에코프로,2026-01-21,2026-01-23,95400.0,106409.0,2,21468.0,11.25,TRAILING,NORMAL,2
032350,롯데관광개발,2026-01-22,2026-01-23,22600.0,23426.0,34,26000.0,3.38,TRAILING,NORMAL,1
007660,이수페타시스,2026-01-26,2026-01-28,118400.0,124063.0,5,26706.0,4.51,TRAILING,NORMAL,2
005300,롯데칠성,2026-01-26,2026-01-29,131100.0,128505.0,2,-5859.0,-2.23,SL_HIT,NORMAL,3
347850,디앤디파마텍,2026-01-29,2026-01-30,100500.0,95215.0,9,-49800.0,-5.5,SL_HIT,NORMAL,1
0009K0,에임드바이오,2026-01-30,2026-02-02,57200.0,54665.0,6,-16065.0,-4.68,SL_HIT,NORMAL,1
001440,대한전선,2026-02-04,2026-02-05,30450.0,33028.0,15,37395.0,8.19,TRAILING,RECOVERY_CONFIRMED,1
161390,한국타이어앤테크놀로지,2026-02-09,2026-02-10,69600.0,72265.0,8,19820.0,3.56,TRAILING,NORMAL,1
251270,넷마블,2026-02-09,2026-02-10,55600.0,55775.0,6,180.0,0.05,TRAILING,NORMAL,1
003490,대한항공,2026-02-11,2026-02-12,25500.0,24968.0,23,-13742.0,-2.34,SL_HIT,NORMAL,1
003160,디아이,2026-02-11,2026-02-12,35700.0,36666.0,9,7837.0,2.44,TRAILING,NORMAL,1
005930,삼성전자,2026-02-13,2026-02-13,179500.0,181200.0,3,3687.0,0.68,PERIOD_END,NORMAL,1
